product_category,product
Small home electrical,Schalter
Small home electrical,Schreibmaschine
Small home electrical,Slide projector
Small home electrical,Smoke detector
Small home electrical,Soldering iron
Small home electrical,Steam appliance (for textiles)
Small home electrical,Steckdosenleiste
Small home electrical,Steuergerät
Small home electrical,Tacker
Small home electrical,Thermostat
Small home electrical,Tischrechner
Small home electrical,Ultraschallreiniger
Small home electrical,Voice recorder
Small home electrical,Wasserpumpe
Small home electrical,Water pump
Small home electrical,Wetterstation
Small home electrical,Window wiper
Small kitchen item,Air fryer
Small kitchen item,Allesschneider
Small kitchen item,Appareil à croque monsieur
Small kitchen item,appareil à raclette
Small kitchen item,Backautomat
Small kitchen item,balance cuisine
Small kitchen item,Boiler
Small kitchen item,Bread maker
Small kitchen item,Breadmaker
Small kitchen item,Brotschneidemaschine
Small kitchen item,Chopper
Small kitchen item,Citrus press
Small kitchen item,Cool box
Small kitchen item,Cuiseur vapeur
Small kitchen item,Dampfkochtopf
Small kitchen item,Digital scales
Small kitchen item,Dörrgerät
Small kitchen item,Eierkocher
Small kitchen item,Electric baking tray
Small kitchen item,Electric cool box
Small kitchen item,Electric knife
Small kitchen item,Electric pan
Small kitchen item,Fer à gauffre
Small kitchen item,Four
Small kitchen item,Four micro-onde
Small kitchen item,four à micro ondes
Small kitchen item,Friteuse
Small kitchen item,friteuse
Small kitchen item,Fritteuse
Small kitchen item,Fryer
Small kitchen item,gaufrier
Small kitchen item,Griddle
Small kitchen item,Grill
Small kitchen item,Grill and raclette machine
Small kitchen item,Grill oven
Small kitchen item,hachoir
Small kitchen item,Hob
Small kitchen item,Hot plate
Small kitchen item,Hotplate
Small kitchen item,Ice cream maker
Small kitchen item,Ice cube maker
Small kitchen item,Induction hob
Small kitchen item,Induktionsplatte
Small kitchen item,Juice extractor / Juicer
Small kitchen item,Kitchen scales
Small kitchen item,Kochplatte
Small kitchen item,Kurzzeitwecker (Eieruhr)
Small kitchen item,Machine à pain
Small kitchen item,Meat cutter
Small kitchen item,Micro-ondes
Small kitchen item,Microwave
Small kitchen item,Milchaufschäumer
Small kitchen item,Milk frother
Small kitchen item,Minibackofen
Small kitchen item,Mixer / blender
Small kitchen item,mixer soupe
Small kitchen item,mousseur de lait
Small kitchen item,Mühle
Small kitchen item,Oven
Small kitchen item,Pepper mill / Pepper grinder
Small kitchen item,Pizza oven
Small kitchen item,Popcorn machine
Small kitchen item,Pressure cooker
Small kitchen item,Raclette
Small kitchen item,Raclette grill
Small kitchen item,Rice cooker
Small kitchen item,Rollator
Small kitchen item,Rolled cookies iron
Small kitchen item,Sandwich maker
Small kitchen item,Sandwich toaster
Small kitchen item,Scales
Small kitchen item,Slicer
Small kitchen item,Slow cooker
Small kitchen item,Slowcooker
Small kitchen item,Small kitchen item
Small kitchen item,Smoothie maker
Small kitchen item,Soup maker
Small kitchen item,Steamer
Small kitchen item,Table grill
Small kitchen item,Teamaker / teasmade
Small kitchen item,Timer
Small kitchen item,Toaster
Small kitchen item,Toaster oven
Small kitchen item,Topf
Small kitchen item,trancheuse
Small kitchen item,Vacuum sealer
Small kitchen item,Vakumiergerät
Small kitchen item,"Waage, elektrisch"
Small kitchen item,Waffeleisen
Small kitchen item,Waffle iron
Small kitchen item,Wassersprudler
Small kitchen item,Weighing Scales
Small kitchen item,Yogurt machine
Tablet,Bicycle computer
Tablet,E-reader / E-book reader
Tablet,GPS
Tablet,iPad
Tablet,Ipad
Tablet,Kindle
Tablet,Navigation system
Tablet,Navigationsgerät
Tablet,Satnav
Tablet,Tablet
Tablet,Weather station
Toaster,Grill toaster
Toaster,tosti
Toaster,grille-pain
Toaster,Toaster
Toy,Drone
Toy,Electric train
Toy,Ferngesteuertes Auto
Toy,Game
Toy,Hoverboard
Toy,Music box (toy)
Toy,Other
Toy,Racing track
Toy,Remote control Car
Toy,Remote controlled car
Toy,Robot
Toy,Spielzeug
Toy,Toy
Toy,Singing doll
Toy,Toy piano
Toy,Teddy bear
Toy,voiture téléguidé
TV and gaming-related accessories,Blu-ray player
TV and gaming-related accessories,Decoder TV
TV and gaming-related accessories,DVD Cinema System
