air-conditioner,dehumidifier,fan,camera-still,camera-video,charger-adapter,clothes-dryer,coffee-machine,computer-accessory,computer-auto,computer-desktop,computer-laptop,computer-tablet,dishwasher,flatpanel-screen,flatpanel-tv,food-processor,freezer,fridge,gaming-console,gaming-portable,garden-machine,hairdryer,headphone,heater,hi-fi,iron,kettle,lawnmower,lighting-lamp,lighting-led,lighting-other,microwave,musical-instrument,personal-grooming,personal-hygiene,personal-medical,portable-audio-video,power-tool,printer,projector,remote-control,set-top-box,sewing-machine,shredder,small-domestic,small-kitchen,food-steamer,speaker,sport-exercise,steam-cleaner,telecom,telecom-mobile,toaster,toy,vacuum-cleaner,washing-machine,watch-clock
,,,,,,,,,,,,,,,,,,,,,,,,,stereo,,,,,,,,,ra[sz][eo]i?[ro],,,,laveuse,,,,,,,sharpen(er|ing),grille?,,,,,,,,tøj,,,
,,,,,,,,,,,,,,,,,,,,,,,,,systee?m,,,,,,,,,rasier(er)?,,,,lisseuse,,,,,,,skrivemaskine,hachoir,,,,,,,,toy,,,
,,,,,,,,,,,,,,,,,,,,,,,,,tape,,,,,,,,,s[éèe]ch(e|oir),,,,lötkolben,,,,,,,slijper,halogen,,,,,,,,track,,,
,,,,,,,,,,,,,,,,,,,,,,,,,tieftöner,,,,,,,,,scheer,,,,m[eé]u?l[aeusngr]+,,,,,,,so[n]+ette,heating plate,,,,,,,,voiture,,,
,,,,,,,,,,,,,,,,,,,,,,,,,tuner,,,,,,,,,shaver?,,,,marteau,,,,,,,sprechanlage,hob,,,,,,,,walkie[- ]?talkie,,,
,,,,,,,,,,,,,,,,,,,,,,,,,turn[- ]?table,,,,,,,,,spejl,,,,mas?(ch|k)ine,,,,,,,staple(r|ing),ice[ -]?(cube)?,,,,,,,,zang,,,
,,,,,,,,,,,,,,,,,,,,,,,,,verst[eäa]rker,,,,,,,,,stijltang(en)?,,,,mi(x|sch)er,,,,,,,steuergerät,indu[ck]tion,,,,,,,,zweven,,,
,,,,,,,,,,,,,,,,,,,,,,,,,woofer,,,,,,,,,stimulator,,,,molen,,,,,,,swatter,k[o]+k,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strai(gh)?teners?,,,,motorsav,,,,,,,thermostat,knive,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,styleu?r?,,,,mühle,,,,,,,türsprechanlage,koch(er)?,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunbed,,,,multi,,,,,,,typewriter,koger,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tondeuse,,,,nettoyeur,,,,,,,vertikutierer,køkkenmaskine,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tongs?,,,,p[io]nceuse,,,,,,,vifte,küchen,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trimmer?,,,,p[ou]mpe?,,,,,,,zapper,mijoteuse,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visage,,,,paint,,,,,,,,mousseur,,,,,,,,,,,
